key,label_es
contact_id,ContactID
first_name,Nombre
middle_name,Primer apellido
last_name,Segundo apellido
name,Nombre completo
email,Email
cuota_socio,Cuota de socio
fecha_alta,Fecha de alta
baja,Baja
fecha_baja,Fecha de baja
contact_category_id,ContactCategoryID
contact_category_group_color,ContactCategoryGroupColor
contact_category_distinct_color,ContactCategoryDistinctColor
contact_category_label,Categoria de contacto
contact_type_id,ContactTypeID
contact_type_label,Tipo de contacto
contact_type_distinct_color,ContactTypeDistinctColor
mailing_address,Dirección
